entity_id,entity_name,segment,owner
DEA001,Dealer 1,Strategic,Revenue
DEA002,Dealer 2,Growth,Customer
DEA003,Dealer 3,Growth,Revenue
DEA004,Dealer 4,Strategic,Revenue
DEA005,Dealer 5,Core,Analytics
DEA006,Dealer 6,Growth,Revenue
DEA007,Dealer 7,Growth,Operations
DEA008,Dealer 8,Growth,Customer
DEA009,Dealer 9,Core,Product
DEA010,Dealer 10,Core,Analytics
DEA011,Dealer 11,Growth,Operations
DEA012,Dealer 12,Strategic,Analytics
DEA013,Dealer 13,Growth,Analytics
DEA014,Dealer 14,Growth,Product
DEA015,Dealer 15,Growth,Customer
DEA016,Dealer 16,Strategic,Revenue
DEA017,Dealer 17,Watch,Analytics
DEA018,Dealer 18,Strategic,Customer
DEA019,Dealer 19,Strategic,Customer
DEA020,Dealer 20,Watch,Customer
DEA021,Dealer 21,Strategic,Product
DEA022,Dealer 22,Core,Customer
DEA023,Dealer 23,Watch,Revenue
DEA024,Dealer 24,Core,Product
DEA025,Dealer 25,Watch,Revenue
DEA026,Dealer 26,Growth,Analytics
DEA027,Dealer 27,Strategic,Customer
DEA028,Dealer 28,Growth,Analytics
DEA029,Dealer 29,Core,Operations
DEA030,Dealer 30,Watch,Product
DEA031,Dealer 31,Strategic,Revenue
DEA032,Dealer 32,Core,Revenue
